attribute_name,group,description
borrower_id_3,borrower,"Id attribute for borrower, instance 3."
borrower_first_name_3,borrower,"First Name attribute for borrower, instance 3."
borrower_last_name_3,borrower,"Last Name attribute for borrower, instance 3."
borrower_date_of_birth_3,borrower,"Date Of Birth attribute for borrower, instance 3."
borrower_ssn_3,borrower,"Ssn attribute for borrower, instance 3."
borrower_employment_status_3,borrower,"Employment Status attribute for borrower, instance 3."
borrower_annual_income_3,borrower,"Annual Income attribute for borrower, instance 3."
borrower_credit_score_3,borrower,"Credit Score attribute for borrower, instance 3."
borrower_marital_status_3,borrower,"Marital Status attribute for borrower, instance 3."
borrower_number_of_dependents_3,borrower,"Number Of Dependents attribute for borrower, instance 3."
borrower_residency_status_3,borrower,"Residency Status attribute for borrower, instance 3."
loan_id_3,loan,"Id attribute for loan, instance 3."
loan_type_3,loan,"Type attribute for loan, instance 3."
loan_amount_3,loan,"Amount attribute for loan, instance 3."
loan_term_years_3,loan,"Term Years attribute for loan, instance 3."
loan_interest_rate_3,loan,"Interest Rate attribute for loan, instance 3."
loan_origination_date_3,loan,"Origination Date attribute for loan, instance 3."
loan_maturity_date_3,loan,"Maturity Date attribute for loan, instance 3."
loan_status_3,loan,"Status attribute for loan, instance 3."
loan_ltv_ratio_3,loan,"Ltv Ratio attribute for loan, instance 3."
loan_dti_ratio_3,loan,"Dti Ratio attribute for loan, instance 3."
loan_amortization_type_3,loan,"Amortization Type attribute for loan, instance 3."
property_id_3,property,"Id attribute for property, instance 3."
property_address_line1_3,property,"Address Line1 attribute for property, instance 3."
property_address_line2_3,property,"Address Line2 attribute for property, instance 3."
property_city_3,property,"City attribute for property, instance 3."
property_state_3,property,"State attribute for property, instance 3."
property_postal_code_3,property,"Postal Code attribute for property, instance 3."
property_country_3,property,"Country attribute for property, instance 3."
property_property_type_3,property,"Property Type attribute for property, instance 3."
property_year_built_3,property,"Year Built attribute for property, instance 3."
property_purchase_price_3,property,"Purchase Price attribute for property, instance 3."
property_appraised_value_3,property,"Appraised Value attribute for property, instance 3."
property_square_feet_3,property,"Square Feet attribute for property, instance 3."
property_lot_size_3,property,"Lot Size attribute for property, instance 3."
property_num_bedrooms_3,property,"Num Bedrooms attribute for property, instance 3."
property_num_bathrooms_3,property,"Num Bathrooms attribute for property, instance 3."
payment_id_3,payment,"Id attribute for payment, instance 3."
payment_due_date_3,payment,"Due Date attribute for payment, instance 3."
payment_amount_due_3,payment,"Amount Due attribute for payment, instance 3."
payment_amount_paid_3,payment,"Amount Paid attribute for payment, instance 3."
payment_payment_date_3,payment,"Payment Date attribute for payment, instance 3."
payment_payment_method_3,payment,"Payment Method attribute for payment, instance 3."
payment_status_3,payment,"Status attribute for payment, instance 3."
payment_late_fee_3,payment,"Late Fee attribute for payment, instance 3."
payment_escrow_amount_3,payment,"Escrow Amount attribute for payment, instance 3."
escrow_id_3,escrow,"Id attribute for escrow, instance 3."
escrow_type_3,escrow,"Type attribute for escrow, instance 3."
escrow_balance_3,escrow,"Balance attribute for escrow, instance 3."
escrow_taxes_due_3,escrow,"Taxes Due attribute for escrow, instance 3."
escrow_insurance_due_3,escrow,"Insurance Due attribute for escrow, instance 3."
escrow_last_payment_date_3,escrow,"Last Payment Date attribute for escrow, instance 3."
escrow_next_payment_due_3,escrow,"Next Payment Due attribute for escrow, instance 3."
regulatory_hmda_reporting_flag_3,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 3."
regulatory_compliance_status_3,regulatory,"Compliance Status attribute for regulatory, instance 3."
regulatory_regulator_notes_3,regulatory,"Regulator Notes attribute for regulatory, instance 3."
regulatory_fair_lending_score_3,regulatory,"Fair Lending Score attribute for regulatory, instance 3."
regulatory_audit_status_3,regulatory,"Audit Status attribute for regulatory, instance 3."
borrower_id_4,borrower,"Id attribute for borrower, instance 4."
borrower_first_name_4,borrower,"First Name attribute for borrower, instance 4."
borrower_last_name_4,borrower,"Last Name attribute for borrower, instance 4."
borrower_date_of_birth_4,borrower,"Date Of Birth attribute for borrower, instance 4."
borrower_ssn_4,borrower,"Ssn attribute for borrower, instance 4."
borrower_employment_status_4,borrower,"Employment Status attribute for borrower, instance 4."
borrower_annual_income_4,borrower,"Annual Income attribute for borrower, instance 4."
borrower_credit_score_4,borrower,"Credit Score attribute for borrower, instance 4."
borrower_marital_status_4,borrower,"Marital Status attribute for borrower, instance 4."
borrower_number_of_dependents_4,borrower,"Number Of Dependents attribute for borrower, instance 4."
borrower_residency_status_4,borrower,"Residency Status attribute for borrower, instance 4."
loan_id_4,loan,"Id attribute for loan, instance 4."
loan_type_4,loan,"Type attribute for loan, instance 4."
loan_amount_4,loan,"Amount attribute for loan, instance 4."
loan_term_years_4,loan,"Term Years attribute for loan, instance 4."
loan_interest_rate_4,loan,"Interest Rate attribute for loan, instance 4."
loan_origination_date_4,loan,"Origination Date attribute for loan, instance 4."
loan_maturity_date_4,loan,"Maturity Date attribute for loan, instance 4."
loan_status_4,loan,"Status attribute for loan, instance 4."
loan_ltv_ratio_4,loan,"Ltv Ratio attribute for loan, instance 4."
loan_dti_ratio_4,loan,"Dti Ratio attribute for loan, instance 4."
loan_amortization_type_4,loan,"Amortization Type attribute for loan, instance 4."
property_id_4,property,"Id attribute for property, instance 4."
property_address_line1_4,property,"Address Line1 attribute for property, instance 4."
property_address_line2_4,property,"Address Line2 attribute for property, instance 4."
property_city_4,property,"City attribute for property, instance 4."
property_state_4,property,"State attribute for property, instance 4."
property_postal_code_4,property,"Postal Code attribute for property, instance 4."
property_country_4,property,"Country attribute for property, instance 4."
property_property_type_4,property,"Property Type attribute for property, instance 4."
property_year_built_4,property,"Year Built attribute for property, instance 4."
property_purchase_price_4,property,"Purchase Price attribute for property, instance 4."
property_appraised_value_4,property,"Appraised Value attribute for property, instance 4."
property_square_feet_4,property,"Square Feet attribute for property, instance 4."
property_lot_size_4,property,"Lot Size attribute for property, instance 4."
property_num_bedrooms_4,property,"Num Bedrooms attribute for property, instance 4."
property_num_bathrooms_4,property,"Num Bathrooms attribute for property, instance 4."
payment_id_4,payment,"Id attribute for payment, instance 4."
payment_due_date_4,payment,"Due Date attribute for payment, instance 4."
payment_amount_due_4,payment,"Amount Due attribute for payment, instance 4."
payment_amount_paid_4,payment,"Amount Paid attribute for payment, instance 4."
payment_payment_date_4,payment,"Payment Date attribute for payment, instance 4."
payment_payment_method_4,payment,"Payment Method attribute for payment, instance 4."
payment_status_4,payment,"Status attribute for payment, instance 4."
payment_late_fee_4,payment,"Late Fee attribute for payment, instance 4."
payment_escrow_amount_4,payment,"Escrow Amount attribute for payment, instance 4."
escrow_id_4,escrow,"Id attribute for escrow, instance 4."
escrow_type_4,escrow,"Type attribute for escrow, instance 4."
escrow_balance_4,escrow,"Balance attribute for escrow, instance 4."
escrow_taxes_due_4,escrow,"Taxes Due attribute for escrow, instance 4."
escrow_insurance_due_4,escrow,"Insurance Due attribute for escrow, instance 4."
escrow_last_payment_date_4,escrow,"Last Payment Date attribute for escrow, instance 4."
escrow_next_payment_due_4,escrow,"Next Payment Due attribute for escrow, instance 4."
regulatory_hmda_reporting_flag_4,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 4."
regulatory_compliance_status_4,regulatory,"Compliance Status attribute for regulatory, instance 4."
regulatory_regulator_notes_4,regulatory,"Regulator Notes attribute for regulatory, instance 4."
regulatory_fair_lending_score_4,regulatory,"Fair Lending Score attribute for regulatory, instance 4."
regulatory_audit_status_4,regulatory,"Audit Status attribute for regulatory, instance 4."
borrower_id_5,borrower,"Id attribute for borrower, instance 5."
borrower_first_name_5,borrower,"First Name attribute for borrower, instance 5."
borrower_last_name_5,borrower,"Last Name attribute for borrower, instance 5."
borrower_date_of_birth_5,borrower,"Date Of Birth attribute for borrower, instance 5."
borrower_ssn_5,borrower,"Ssn attribute for borrower, instance 5."
borrower_employment_status_5,borrower,"Employment Status attribute for borrower, instance 5."
borrower_annual_income_5,borrower,"Annual Income attribute for borrower, instance 5."
borrower_credit_score_5,borrower,"Credit Score attribute for borrower, instance 5."
borrower_marital_status_5,borrower,"Marital Status attribute for borrower, instance 5."
borrower_number_of_dependents_5,borrower,"Number Of Dependents attribute for borrower, instance 5."
borrower_residency_status_5,borrower,"Residency Status attribute for borrower, instance 5."
loan_id_5,loan,"Id attribute for loan, instance 5."
loan_type_5,loan,"Type attribute for loan, instance 5."
loan_amount_5,loan,"Amount attribute for loan, instance 5."
loan_term_years_5,loan,"Term Years attribute for loan, instance 5."
loan_interest_rate_5,loan,"Interest Rate attribute for loan, instance 5."
loan_origination_date_5,loan,"Origination Date attribute for loan, instance 5."
loan_maturity_date_5,loan,"Maturity Date attribute for loan, instance 5."
loan_status_5,loan,"Status attribute for loan, instance 5."
loan_ltv_ratio_5,loan,"Ltv Ratio attribute for loan, instance 5."
loan_dti_ratio_5,loan,"Dti Ratio attribute for loan, instance 5."
loan_amortization_type_5,loan,"Amortization Type attribute for loan, instance 5."
property_id_5,property,"Id attribute for property, instance 5."
property_address_line1_5,property,"Address Line1 attribute for property, instance 5."
property_address_line2_5,property,"Address Line2 attribute for property, instance 5."
property_city_5,property,"City attribute for property, instance 5."
property_state_5,property,"State attribute for property, instance 5."
property_postal_code_5,property,"Postal Code attribute for property, instance 5."
property_country_5,property,"Country attribute for property, instance 5."
property_property_type_5,property,"Property Type attribute for property, instance 5."
property_year_built_5,property,"Year Built attribute for property, instance 5."
property_purchase_price_5,property,"Purchase Price attribute for property, instance 5."
property_appraised_value_5,property,"Appraised Value attribute for property, instance 5."
property_square_feet_5,property,"Square Feet attribute for property, instance 5."
property_lot_size_5,property,"Lot Size attribute for property, instance 5."
property_num_bedrooms_5,property,"Num Bedrooms attribute for property, instance 5."
property_num_bathrooms_5,property,"Num Bathrooms attribute for property, instance 5."
payment_id_5,payment,"Id attribute for payment, instance 5."
payment_due_date_5,payment,"Due Date attribute for payment, instance 5."
payment_amount_due_5,payment,"Amount Due attribute for payment, instance 5."
payment_amount_paid_5,payment,"Amount Paid attribute for payment, instance 5."
payment_payment_date_5,payment,"Payment Date attribute for payment, instance 5."
payment_payment_method_5,payment,"Payment Method attribute for payment, instance 5."
payment_status_5,payment,"Status attribute for payment, instance 5."
payment_late_fee_5,payment,"Late Fee attribute for payment, instance 5."
payment_escrow_amount_5,payment,"Escrow Amount attribute for payment, instance 5."
escrow_id_5,escrow,"Id attribute for escrow, instance 5."
escrow_type_5,escrow,"Type attribute for escrow, instance 5."
escrow_balance_5,escrow,"Balance attribute for escrow, instance 5."
escrow_taxes_due_5,escrow,"Taxes Due attribute for escrow, instance 5."
escrow_insurance_due_5,escrow,"Insurance Due attribute for escrow, instance 5."
escrow_last_payment_date_5,escrow,"Last Payment Date attribute for escrow, instance 5."
escrow_next_payment_due_5,escrow,"Next Payment Due attribute for escrow, instance 5."
regulatory_hmda_reporting_flag_5,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 5."
regulatory_compliance_status_5,regulatory,"Compliance Status attribute for regulatory, instance 5."
regulatory_regulator_notes_5,regulatory,"Regulator Notes attribute for regulatory, instance 5."
regulatory_fair_lending_score_5,regulatory,"Fair Lending Score attribute for regulatory, instance 5."
regulatory_audit_status_5,regulatory,"Audit Status attribute for regulatory, instance 5."
borrower_id_6,borrower,"Id attribute for borrower, instance 6."
borrower_first_name_6,borrower,"First Name attribute for borrower, instance 6."
borrower_last_name_6,borrower,"Last Name attribute for borrower, instance 6."
borrower_date_of_birth_6,borrower,"Date Of Birth attribute for borrower, instance 6."
borrower_ssn_6,borrower,"Ssn attribute for borrower, instance 6."
borrower_employment_status_6,borrower,"Employment Status attribute for borrower, instance 6."
borrower_annual_income_6,borrower,"Annual Income attribute for borrower, instance 6."
borrower_credit_score_6,borrower,"Credit Score attribute for borrower, instance 6."
borrower_marital_status_6,borrower,"Marital Status attribute for borrower, instance 6."
borrower_number_of_dependents_6,borrower,"Number Of Dependents attribute for borrower, instance 6."
borrower_residency_status_6,borrower,"Residency Status attribute for borrower, instance 6."
loan_id_6,loan,"Id attribute for loan, instance 6."
loan_type_6,loan,"Type attribute for loan, instance 6."
loan_amount_6,loan,"Amount attribute for loan, instance 6."
loan_term_years_6,loan,"Term Years attribute for loan, instance 6."
loan_interest_rate_6,loan,"Interest Rate attribute for loan, instance 6."
loan_origination_date_6,loan,"Origination Date attribute for loan, instance 6."
loan_maturity_date_6,loan,"Maturity Date attribute for loan, instance 6."
loan_status_6,loan,"Status attribute for loan, instance 6."
loan_ltv_ratio_6,loan,"Ltv Ratio attribute for loan, instance 6."
loan_dti_ratio_6,loan,"Dti Ratio attribute for loan, instance 6."
loan_amortization_type_6,loan,"Amortization Type attribute for loan, instance 6."
property_id_6,property,"Id attribute for property, instance 6."
property_address_line1_6,property,"Address Line1 attribute for property, instance 6."
property_address_line2_6,property,"Address Line2 attribute for property, instance 6."
property_city_6,property,"City attribute for property, instance 6."
property_state_6,property,"State attribute for property, instance 6."
property_postal_code_6,property,"Postal Code attribute for property, instance 6."
property_country_6,property,"Country attribute for property, instance 6."
property_property_type_6,property,"Property Type attribute for property, instance 6."
property_year_built_6,property,"Year Built attribute for property, instance 6."
property_purchase_price_6,property,"Purchase Price attribute for property, instance 6."
property_appraised_value_6,property,"Appraised Value attribute for property, instance 6."
property_square_feet_6,property,"Square Feet attribute for property, instance 6."
property_lot_size_6,property,"Lot Size attribute for property, instance 6."
property_num_bedrooms_6,property,"Num Bedrooms attribute for property, instance 6."
property_num_bathrooms_6,property,"Num Bathrooms attribute for property, instance 6."
payment_id_6,payment,"Id attribute for payment, instance 6."
payment_due_date_6,payment,"Due Date attribute for payment, instance 6."
payment_amount_due_6,payment,"Amount Due attribute for payment, instance 6."
payment_amount_paid_6,payment,"Amount Paid attribute for payment, instance 6."
payment_payment_date_6,payment,"Payment Date attribute for payment, instance 6."
payment_payment_method_6,payment,"Payment Method attribute for payment, instance 6."
payment_status_6,payment,"Status attribute for payment, instance 6."
payment_late_fee_6,payment,"Late Fee attribute for payment, instance 6."
payment_escrow_amount_6,payment,"Escrow Amount attribute for payment, instance 6."
escrow_id_6,escrow,"Id attribute for escrow, instance 6."
escrow_type_6,escrow,"Type attribute for escrow, instance 6."
escrow_balance_6,escrow,"Balance attribute for escrow, instance 6."
escrow_taxes_due_6,escrow,"Taxes Due attribute for escrow, instance 6."
escrow_insurance_due_6,escrow,"Insurance Due attribute for escrow, instance 6."
escrow_last_payment_date_6,escrow,"Last Payment Date attribute for escrow, instance 6."
escrow_next_payment_due_6,escrow,"Next Payment Due attribute for escrow, instance 6."
regulatory_hmda_reporting_flag_6,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 6."
regulatory_compliance_status_6,regulatory,"Compliance Status attribute for regulatory, instance 6."
regulatory_regulator_notes_6,regulatory,"Regulator Notes attribute for regulatory, instance 6."
regulatory_fair_lending_score_6,regulatory,"Fair Lending Score attribute for regulatory, instance 6."
regulatory_audit_status_6,regulatory,"Audit Status attribute for regulatory, instance 6."
borrower_id_7,borrower,"Id attribute for borrower, instance 7."
borrower_first_name_7,borrower,"First Name attribute for borrower, instance 7."
borrower_last_name_7,borrower,"Last Name attribute for borrower, instance 7."
borrower_date_of_birth_7,borrower,"Date Of Birth attribute for borrower, instance 7."
borrower_ssn_7,borrower,"Ssn attribute for borrower, instance 7."
borrower_employment_status_7,borrower,"Employment Status attribute for borrower, instance 7."
borrower_annual_income_7,borrower,"Annual Income attribute for borrower, instance 7."
borrower_credit_score_7,borrower,"Credit Score attribute for borrower, instance 7."
borrower_marital_status_7,borrower,"Marital Status attribute for borrower, instance 7."
borrower_number_of_dependents_7,borrower,"Number Of Dependents attribute for borrower, instance 7."
borrower_residency_status_7,borrower,"Residency Status attribute for borrower, instance 7."
loan_id_7,loan,"Id attribute for loan, instance 7."
loan_type_7,loan,"Type attribute for loan, instance 7."
loan_amount_7,loan,"Amount attribute for loan, instance 7."
loan_term_years_7,loan,"Term Years attribute for loan, instance 7."
loan_interest_rate_7,loan,"Interest Rate attribute for loan, instance 7."
loan_origination_date_7,loan,"Origination Date attribute for loan, instance 7."
loan_maturity_date_7,loan,"Maturity Date attribute for loan, instance 7."
loan_status_7,loan,"Status attribute for loan, instance 7."
loan_ltv_ratio_7,loan,"Ltv Ratio attribute for loan, instance 7."
loan_dti_ratio_7,loan,"Dti Ratio attribute for loan, instance 7."
loan_amortization_type_7,loan,"Amortization Type attribute for loan, instance 7."
property_id_7,property,"Id attribute for property, instance 7."
property_address_line1_7,property,"Address Line1 attribute for property, instance 7."
property_address_line2_7,property,"Address Line2 attribute for property, instance 7."
property_city_7,property,"City attribute for property, instance 7."
property_state_7,property,"State attribute for property, instance 7."
property_postal_code_7,property,"Postal Code attribute for property, instance 7."
property_country_7,property,"Country attribute for property, instance 7."
property_property_type_7,property,"Property Type attribute for property, instance 7."
property_year_built_7,property,"Year Built attribute for property, instance 7."
property_purchase_price_7,property,"Purchase Price attribute for property, instance 7."
property_appraised_value_7,property,"Appraised Value attribute for property, instance 7."
property_square_feet_7,property,"Square Feet attribute for property, instance 7."
property_lot_size_7,property,"Lot Size attribute for property, instance 7."
property_num_bedrooms_7,property,"Num Bedrooms attribute for property, instance 7."
property_num_bathrooms_7,property,"Num Bathrooms attribute for property, instance 7."
payment_id_7,payment,"Id attribute for payment, instance 7."
payment_due_date_7,payment,"Due Date attribute for payment, instance 7."
payment_amount_due_7,payment,"Amount Due attribute for payment, instance 7."
payment_amount_paid_7,payment,"Amount Paid attribute for payment, instance 7."
payment_payment_date_7,payment,"Payment Date attribute for payment, instance 7."
payment_payment_method_7,payment,"Payment Method attribute for payment, instance 7."
payment_status_7,payment,"Status attribute for payment, instance 7."
payment_late_fee_7,payment,"Late Fee attribute for payment, instance 7."
payment_escrow_amount_7,payment,"Escrow Amount attribute for payment, instance 7."
escrow_id_7,escrow,"Id attribute for escrow, instance 7."
escrow_type_7,escrow,"Type attribute for escrow, instance 7."
escrow_balance_7,escrow,"Balance attribute for escrow, instance 7."
escrow_taxes_due_7,escrow,"Taxes Due attribute for escrow, instance 7."
escrow_insurance_due_7,escrow,"Insurance Due attribute for escrow, instance 7."
escrow_last_payment_date_7,escrow,"Last Payment Date attribute for escrow, instance 7."
escrow_next_payment_due_7,escrow,"Next Payment Due attribute for escrow, instance 7."
regulatory_hmda_reporting_flag_7,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 7."
regulatory_compliance_status_7,regulatory,"Compliance Status attribute for regulatory, instance 7."
regulatory_regulator_notes_7,regulatory,"Regulator Notes attribute for regulatory, instance 7."
regulatory_fair_lending_score_7,regulatory,"Fair Lending Score attribute for regulatory, instance 7."
regulatory_audit_status_7,regulatory,"Audit Status attribute for regulatory, instance 7."
borrower_id_8,borrower,"Id attribute for borrower, instance 8."
borrower_first_name_8,borrower,"First Name attribute for borrower, instance 8."
borrower_last_name_8,borrower,"Last Name attribute for borrower, instance 8."
borrower_date_of_birth_8,borrower,"Date Of Birth attribute for borrower, instance 8."
borrower_ssn_8,borrower,"Ssn attribute for borrower, instance 8."
borrower_employment_status_8,borrower,"Employment Status attribute for borrower, instance 8."
borrower_annual_income_8,borrower,"Annual Income attribute for borrower, instance 8."
borrower_credit_score_8,borrower,"Credit Score attribute for borrower, instance 8."
borrower_marital_status_8,borrower,"Marital Status attribute for borrower, instance 8."
borrower_number_of_dependents_8,borrower,"Number Of Dependents attribute for borrower, instance 8."
borrower_residency_status_8,borrower,"Residency Status attribute for borrower, instance 8."
loan_id_8,loan,"Id attribute for loan, instance 8."
loan_type_8,loan,"Type attribute for loan, instance 8."
loan_amount_8,loan,"Amount attribute for loan, instance 8."
loan_term_years_8,loan,"Term Years attribute for loan, instance 8."
loan_interest_rate_8,loan,"Interest Rate attribute for loan, instance 8."
loan_origination_date_8,loan,"Origination Date attribute for loan, instance 8."
loan_maturity_date_8,loan,"Maturity Date attribute for loan, instance 8."
loan_status_8,loan,"Status attribute for loan, instance 8."
loan_ltv_ratio_8,loan,"Ltv Ratio attribute for loan, instance 8."
loan_dti_ratio_8,loan,"Dti Ratio attribute for loan, instance 8."
loan_amortization_type_8,loan,"Amortization Type attribute for loan, instance 8."
property_id_8,property,"Id attribute for property, instance 8."
property_address_line1_8,property,"Address Line1 attribute for property, instance 8."
