attribute_name,group,description
card.issuer_id.avg_last_10,card,Card attribute 'issuer_id' with derivation 'avg_last_10'
card.issuer_id.sum_last_10,card,Card attribute 'issuer_id' with derivation 'sum_last_10'
card.issuer_id.stddev_last_10,card,Card attribute 'issuer_id' with derivation 'stddev_last_10'
card.issuer_id.last_seen,card,Card attribute 'issuer_id' with derivation 'last_seen'
card.issuer_id.count_last_1h,card,Card attribute 'issuer_id' with derivation 'count_last_1h'
card.issuer_id.count_last_24h,card,Card attribute 'issuer_id' with derivation 'count_last_24h'
card.issuer_id.count_last_7d,card,Card attribute 'issuer_id' with derivation 'count_last_7d'
card.issuer_id.count_last_30d,card,Card attribute 'issuer_id' with derivation 'count_last_30d'
card.issuer_id.flag_anomaly,card,Card attribute 'issuer_id' with derivation 'flag_anomaly'
card.issuer_id.rolling_avg_1h,card,Card attribute 'issuer_id' with derivation 'rolling_avg_1h'
card.issuer_id.rolling_avg_24h,card,Card attribute 'issuer_id' with derivation 'rolling_avg_24h'
card.issuer_id.velocity_flag,card,Card attribute 'issuer_id' with derivation 'velocity_flag'
card.issuer_id.trend_up,card,Card attribute 'issuer_id' with derivation 'trend_up'
card.issuer_id.trend_down,card,Card attribute 'issuer_id' with derivation 'trend_down'
card.issuer_id.missing_flag,card,Card attribute 'issuer_id' with derivation 'missing_flag'
card.issuer_name.raw,card,Card attribute 'issuer_name' with derivation 'raw'
card.issuer_name.normalized,card,Card attribute 'issuer_name' with derivation 'normalized'
card.issuer_name.zscore,card,Card attribute 'issuer_name' with derivation 'zscore'
card.issuer_name.min_last_10,card,Card attribute 'issuer_name' with derivation 'min_last_10'
card.issuer_name.max_last_10,card,Card attribute 'issuer_name' with derivation 'max_last_10'
card.issuer_name.avg_last_10,card,Card attribute 'issuer_name' with derivation 'avg_last_10'
card.issuer_name.sum_last_10,card,Card attribute 'issuer_name' with derivation 'sum_last_10'
card.issuer_name.stddev_last_10,card,Card attribute 'issuer_name' with derivation 'stddev_last_10'
card.issuer_name.last_seen,card,Card attribute 'issuer_name' with derivation 'last_seen'
card.issuer_name.count_last_1h,card,Card attribute 'issuer_name' with derivation 'count_last_1h'
card.issuer_name.count_last_24h,card,Card attribute 'issuer_name' with derivation 'count_last_24h'
card.issuer_name.count_last_7d,card,Card attribute 'issuer_name' with derivation 'count_last_7d'
card.issuer_name.count_last_30d,card,Card attribute 'issuer_name' with derivation 'count_last_30d'
card.issuer_name.flag_anomaly,card,Card attribute 'issuer_name' with derivation 'flag_anomaly'
card.issuer_name.rolling_avg_1h,card,Card attribute 'issuer_name' with derivation 'rolling_avg_1h'
card.issuer_name.rolling_avg_24h,card,Card attribute 'issuer_name' with derivation 'rolling_avg_24h'
card.issuer_name.velocity_flag,card,Card attribute 'issuer_name' with derivation 'velocity_flag'
card.issuer_name.trend_up,card,Card attribute 'issuer_name' with derivation 'trend_up'
card.issuer_name.trend_down,card,Card attribute 'issuer_name' with derivation 'trend_down'
card.issuer_name.missing_flag,card,Card attribute 'issuer_name' with derivation 'missing_flag'
card.expiry_month.raw,card,Card attribute 'expiry_month' with derivation 'raw'
card.expiry_month.normalized,card,Card attribute 'expiry_month' with derivation 'normalized'
card.expiry_month.zscore,card,Card attribute 'expiry_month' with derivation 'zscore'
card.expiry_month.min_last_10,card,Card attribute 'expiry_month' with derivation 'min_last_10'
card.expiry_month.max_last_10,card,Card attribute 'expiry_month' with derivation 'max_last_10'
card.expiry_month.avg_last_10,card,Card attribute 'expiry_month' with derivation 'avg_last_10'
card.expiry_month.sum_last_10,card,Card attribute 'expiry_month' with derivation 'sum_last_10'
card.expiry_month.stddev_last_10,card,Card attribute 'expiry_month' with derivation 'stddev_last_10'
card.expiry_month.last_seen,card,Card attribute 'expiry_month' with derivation 'last_seen'
card.expiry_month.count_last_1h,card,Card attribute 'expiry_month' with derivation 'count_last_1h'
card.expiry_month.count_last_24h,card,Card attribute 'expiry_month' with derivation 'count_last_24h'
card.expiry_month.count_last_7d,card,Card attribute 'expiry_month' with derivation 'count_last_7d'
card.expiry_month.count_last_30d,card,Card attribute 'expiry_month' with derivation 'count_last_30d'
card.expiry_month.flag_anomaly,card,Card attribute 'expiry_month' with derivation 'flag_anomaly'
card.expiry_month.rolling_avg_1h,card,Card attribute 'expiry_month' with derivation 'rolling_avg_1h'
card.expiry_month.rolling_avg_24h,card,Card attribute 'expiry_month' with derivation 'rolling_avg_24h'
card.expiry_month.velocity_flag,card,Card attribute 'expiry_month' with derivation 'velocity_flag'
card.expiry_month.trend_up,card,Card attribute 'expiry_month' with derivation 'trend_up'
card.expiry_month.trend_down,card,Card attribute 'expiry_month' with derivation 'trend_down'
card.expiry_month.missing_flag,card,Card attribute 'expiry_month' with derivation 'missing_flag'
card.expiry_year.raw,card,Card attribute 'expiry_year' with derivation 'raw'
card.expiry_year.normalized,card,Card attribute 'expiry_year' with derivation 'normalized'
card.expiry_year.zscore,card,Card attribute 'expiry_year' with derivation 'zscore'
card.expiry_year.min_last_10,card,Card attribute 'expiry_year' with derivation 'min_last_10'
card.expiry_year.max_last_10,card,Card attribute 'expiry_year' with derivation 'max_last_10'
card.expiry_year.avg_last_10,card,Card attribute 'expiry_year' with derivation 'avg_last_10'
card.expiry_year.sum_last_10,card,Card attribute 'expiry_year' with derivation 'sum_last_10'
card.expiry_year.stddev_last_10,card,Card attribute 'expiry_year' with derivation 'stddev_last_10'
card.expiry_year.last_seen,card,Card attribute 'expiry_year' with derivation 'last_seen'
card.expiry_year.count_last_1h,card,Card attribute 'expiry_year' with derivation 'count_last_1h'
card.expiry_year.count_last_24h,card,Card attribute 'expiry_year' with derivation 'count_last_24h'
card.expiry_year.count_last_7d,card,Card attribute 'expiry_year' with derivation 'count_last_7d'
card.expiry_year.count_last_30d,card,Card attribute 'expiry_year' with derivation 'count_last_30d'
card.expiry_year.flag_anomaly,card,Card attribute 'expiry_year' with derivation 'flag_anomaly'
card.expiry_year.rolling_avg_1h,card,Card attribute 'expiry_year' with derivation 'rolling_avg_1h'
card.expiry_year.rolling_avg_24h,card,Card attribute 'expiry_year' with derivation 'rolling_avg_24h'
card.expiry_year.velocity_flag,card,Card attribute 'expiry_year' with derivation 'velocity_flag'
card.expiry_year.trend_up,card,Card attribute 'expiry_year' with derivation 'trend_up'
card.expiry_year.trend_down,card,Card attribute 'expiry_year' with derivation 'trend_down'
card.expiry_year.missing_flag,card,Card attribute 'expiry_year' with derivation 'missing_flag'
card.security_code_present.raw,card,Card attribute 'security_code_present' with derivation 'raw'
card.security_code_present.normalized,card,Card attribute 'security_code_present' with derivation 'normalized'
card.security_code_present.zscore,card,Card attribute 'security_code_present' with derivation 'zscore'
card.security_code_present.min_last_10,card,Card attribute 'security_code_present' with derivation 'min_last_10'
card.security_code_present.max_last_10,card,Card attribute 'security_code_present' with derivation 'max_last_10'
card.security_code_present.avg_last_10,card,Card attribute 'security_code_present' with derivation 'avg_last_10'
card.security_code_present.sum_last_10,card,Card attribute 'security_code_present' with derivation 'sum_last_10'
card.security_code_present.stddev_last_10,card,Card attribute 'security_code_present' with derivation 'stddev_last_10'
card.security_code_present.last_seen,card,Card attribute 'security_code_present' with derivation 'last_seen'
card.security_code_present.count_last_1h,card,Card attribute 'security_code_present' with derivation 'count_last_1h'
card.security_code_present.count_last_24h,card,Card attribute 'security_code_present' with derivation 'count_last_24h'
card.security_code_present.count_last_7d,card,Card attribute 'security_code_present' with derivation 'count_last_7d'
card.security_code_present.count_last_30d,card,Card attribute 'security_code_present' with derivation 'count_last_30d'
card.security_code_present.flag_anomaly,card,Card attribute 'security_code_present' with derivation 'flag_anomaly'
card.security_code_present.rolling_avg_1h,card,Card attribute 'security_code_present' with derivation 'rolling_avg_1h'
card.security_code_present.rolling_avg_24h,card,Card attribute 'security_code_present' with derivation 'rolling_avg_24h'
card.security_code_present.velocity_flag,card,Card attribute 'security_code_present' with derivation 'velocity_flag'
card.security_code_present.trend_up,card,Card attribute 'security_code_present' with derivation 'trend_up'
card.security_code_present.trend_down,card,Card attribute 'security_code_present' with derivation 'trend_down'
card.security_code_present.missing_flag,card,Card attribute 'security_code_present' with derivation 'missing_flag'
card.security_code_valid.raw,card,Card attribute 'security_code_valid' with derivation 'raw'
card.security_code_valid.normalized,card,Card attribute 'security_code_valid' with derivation 'normalized'
card.security_code_valid.zscore,card,Card attribute 'security_code_valid' with derivation 'zscore'
card.security_code_valid.min_last_10,card,Card attribute 'security_code_valid' with derivation 'min_last_10'
card.security_code_valid.max_last_10,card,Card attribute 'security_code_valid' with derivation 'max_last_10'
card.security_code_valid.avg_last_10,card,Card attribute 'security_code_valid' with derivation 'avg_last_10'
card.security_code_valid.sum_last_10,card,Card attribute 'security_code_valid' with derivation 'sum_last_10'
card.security_code_valid.stddev_last_10,card,Card attribute 'security_code_valid' with derivation 'stddev_last_10'
card.security_code_valid.last_seen,card,Card attribute 'security_code_valid' with derivation 'last_seen'
card.security_code_valid.count_last_1h,card,Card attribute 'security_code_valid' with derivation 'count_last_1h'
card.security_code_valid.count_last_24h,card,Card attribute 'security_code_valid' with derivation 'count_last_24h'
card.security_code_valid.count_last_7d,card,Card attribute 'security_code_valid' with derivation 'count_last_7d'
card.security_code_valid.count_last_30d,card,Card attribute 'security_code_valid' with derivation 'count_last_30d'
card.security_code_valid.flag_anomaly,card,Card attribute 'security_code_valid' with derivation 'flag_anomaly'
card.security_code_valid.rolling_avg_1h,card,Card attribute 'security_code_valid' with derivation 'rolling_avg_1h'
card.security_code_valid.rolling_avg_24h,card,Card attribute 'security_code_valid' with derivation 'rolling_avg_24h'
card.security_code_valid.velocity_flag,card,Card attribute 'security_code_valid' with derivation 'velocity_flag'
card.security_code_valid.trend_up,card,Card attribute 'security_code_valid' with derivation 'trend_up'
card.security_code_valid.trend_down,card,Card attribute 'security_code_valid' with derivation 'trend_down'
card.security_code_valid.missing_flag,card,Card attribute 'security_code_valid' with derivation 'missing_flag'
card.encrypted_pan.raw,card,Card attribute 'encrypted_pan' with derivation 'raw'
card.encrypted_pan.normalized,card,Card attribute 'encrypted_pan' with derivation 'normalized'
card.encrypted_pan.zscore,card,Card attribute 'encrypted_pan' with derivation 'zscore'
card.encrypted_pan.min_last_10,card,Card attribute 'encrypted_pan' with derivation 'min_last_10'
card.encrypted_pan.max_last_10,card,Card attribute 'encrypted_pan' with derivation 'max_last_10'
card.encrypted_pan.avg_last_10,card,Card attribute 'encrypted_pan' with derivation 'avg_last_10'
card.encrypted_pan.sum_last_10,card,Card attribute 'encrypted_pan' with derivation 'sum_last_10'
card.encrypted_pan.stddev_last_10,card,Card attribute 'encrypted_pan' with derivation 'stddev_last_10'
card.encrypted_pan.last_seen,card,Card attribute 'encrypted_pan' with derivation 'last_seen'
card.encrypted_pan.count_last_1h,card,Card attribute 'encrypted_pan' with derivation 'count_last_1h'
card.encrypted_pan.count_last_24h,card,Card attribute 'encrypted_pan' with derivation 'count_last_24h'
card.encrypted_pan.count_last_7d,card,Card attribute 'encrypted_pan' with derivation 'count_last_7d'
card.encrypted_pan.count_last_30d,card,Card attribute 'encrypted_pan' with derivation 'count_last_30d'
card.encrypted_pan.flag_anomaly,card,Card attribute 'encrypted_pan' with derivation 'flag_anomaly'
card.encrypted_pan.rolling_avg_1h,card,Card attribute 'encrypted_pan' with derivation 'rolling_avg_1h'
card.encrypted_pan.rolling_avg_24h,card,Card attribute 'encrypted_pan' with derivation 'rolling_avg_24h'
card.encrypted_pan.velocity_flag,card,Card attribute 'encrypted_pan' with derivation 'velocity_flag'
card.encrypted_pan.trend_up,card,Card attribute 'encrypted_pan' with derivation 'trend_up'
card.encrypted_pan.trend_down,card,Card attribute 'encrypted_pan' with derivation 'trend_down'
card.encrypted_pan.missing_flag,card,Card attribute 'encrypted_pan' with derivation 'missing_flag'
card.tokenized_pan.raw,card,Card attribute 'tokenized_pan' with derivation 'raw'
card.tokenized_pan.normalized,card,Card attribute 'tokenized_pan' with derivation 'normalized'
card.tokenized_pan.zscore,card,Card attribute 'tokenized_pan' with derivation 'zscore'
card.tokenized_pan.min_last_10,card,Card attribute 'tokenized_pan' with derivation 'min_last_10'
card.tokenized_pan.max_last_10,card,Card attribute 'tokenized_pan' with derivation 'max_last_10'
card.tokenized_pan.avg_last_10,card,Card attribute 'tokenized_pan' with derivation 'avg_last_10'
card.tokenized_pan.sum_last_10,card,Card attribute 'tokenized_pan' with derivation 'sum_last_10'
card.tokenized_pan.stddev_last_10,card,Card attribute 'tokenized_pan' with derivation 'stddev_last_10'
card.tokenized_pan.last_seen,card,Card attribute 'tokenized_pan' with derivation 'last_seen'
card.tokenized_pan.count_last_1h,card,Card attribute 'tokenized_pan' with derivation 'count_last_1h'
card.tokenized_pan.count_last_24h,card,Card attribute 'tokenized_pan' with derivation 'count_last_24h'
card.tokenized_pan.count_last_7d,card,Card attribute 'tokenized_pan' with derivation 'count_last_7d'
card.tokenized_pan.count_last_30d,card,Card attribute 'tokenized_pan' with derivation 'count_last_30d'
card.tokenized_pan.flag_anomaly,card,Card attribute 'tokenized_pan' with derivation 'flag_anomaly'
card.tokenized_pan.rolling_avg_1h,card,Card attribute 'tokenized_pan' with derivation 'rolling_avg_1h'
card.tokenized_pan.rolling_avg_24h,card,Card attribute 'tokenized_pan' with derivation 'rolling_avg_24h'
card.tokenized_pan.velocity_flag,card,Card attribute 'tokenized_pan' with derivation 'velocity_flag'
card.tokenized_pan.trend_up,card,Card attribute 'tokenized_pan' with derivation 'trend_up'
card.tokenized_pan.trend_down,card,Card attribute 'tokenized_pan' with derivation 'trend_down'
card.tokenized_pan.missing_flag,card,Card attribute 'tokenized_pan' with derivation 'missing_flag'
card.embossed_name.raw,card,Card attribute 'embossed_name' with derivation 'raw'
card.embossed_name.normalized,card,Card attribute 'embossed_name' with derivation 'normalized'
card.embossed_name.zscore,card,Card attribute 'embossed_name' with derivation 'zscore'
card.embossed_name.min_last_10,card,Card attribute 'embossed_name' with derivation 'min_last_10'
card.embossed_name.max_last_10,card,Card attribute 'embossed_name' with derivation 'max_last_10'
card.embossed_name.avg_last_10,card,Card attribute 'embossed_name' with derivation 'avg_last_10'
card.embossed_name.sum_last_10,card,Card attribute 'embossed_name' with derivation 'sum_last_10'
card.embossed_name.stddev_last_10,card,Card attribute 'embossed_name' with derivation 'stddev_last_10'
card.embossed_name.last_seen,card,Card attribute 'embossed_name' with derivation 'last_seen'
card.embossed_name.count_last_1h,card,Card attribute 'embossed_name' with derivation 'count_last_1h'
card.embossed_name.count_last_24h,card,Card attribute 'embossed_name' with derivation 'count_last_24h'
card.embossed_name.count_last_7d,card,Card attribute 'embossed_name' with derivation 'count_last_7d'
card.embossed_name.count_last_30d,card,Card attribute 'embossed_name' with derivation 'count_last_30d'
card.embossed_name.flag_anomaly,card,Card attribute 'embossed_name' with derivation 'flag_anomaly'
card.embossed_name.rolling_avg_1h,card,Card attribute 'embossed_name' with derivation 'rolling_avg_1h'
card.embossed_name.rolling_avg_24h,card,Card attribute 'embossed_name' with derivation 'rolling_avg_24h'
card.embossed_name.velocity_flag,card,Card attribute 'embossed_name' with derivation 'velocity_flag'
card.embossed_name.trend_up,card,Card attribute 'embossed_name' with derivation 'trend_up'
card.embossed_name.trend_down,card,Card attribute 'embossed_name' with derivation 'trend_down'
card.embossed_name.missing_flag,card,Card attribute 'embossed_name' with derivation 'missing_flag'
card.contactless_enabled.raw,card,Card attribute 'contactless_enabled' with derivation 'raw'
card.contactless_enabled.normalized,card,Card attribute 'contactless_enabled' with derivation 'normalized'
card.contactless_enabled.zscore,card,Card attribute 'contactless_enabled' with derivation 'zscore'
card.contactless_enabled.min_last_10,card,Card attribute 'contactless_enabled' with derivation 'min_last_10'
card.contactless_enabled.max_last_10,card,Card attribute 'contactless_enabled' with derivation 'max_last_10'
card.contactless_enabled.avg_last_10,card,Card attribute 'contactless_enabled' with derivation 'avg_last_10'
card.contactless_enabled.sum_last_10,card,Card attribute 'contactless_enabled' with derivation 'sum_last_10'
card.contactless_enabled.stddev_last_10,card,Card attribute 'contactless_enabled' with derivation 'stddev_last_10'
card.contactless_enabled.last_seen,card,Card attribute 'contactless_enabled' with derivation 'last_seen'
card.contactless_enabled.count_last_1h,card,Card attribute 'contactless_enabled' with derivation 'count_last_1h'
card.contactless_enabled.count_last_24h,card,Card attribute 'contactless_enabled' with derivation 'count_last_24h'
card.contactless_enabled.count_last_7d,card,Card attribute 'contactless_enabled' with derivation 'count_last_7d'
card.contactless_enabled.count_last_30d,card,Card attribute 'contactless_enabled' with derivation 'count_last_30d'
card.contactless_enabled.flag_anomaly,card,Card attribute 'contactless_enabled' with derivation 'flag_anomaly'
card.contactless_enabled.rolling_avg_1h,card,Card attribute 'contactless_enabled' with derivation 'rolling_avg_1h'
card.contactless_enabled.rolling_avg_24h,card,Card attribute 'contactless_enabled' with derivation 'rolling_avg_24h'
card.contactless_enabled.velocity_flag,card,Card attribute 'contactless_enabled' with derivation 'velocity_flag'
card.contactless_enabled.trend_up,card,Card attribute 'contactless_enabled' with derivation 'trend_up'
card.contactless_enabled.trend_down,card,Card attribute 'contactless_enabled' with derivation 'trend_down'
card.contactless_enabled.missing_flag,card,Card attribute 'contactless_enabled' with derivation 'missing_flag'
card.currency_code.raw,card,Card attribute 'currency_code' with derivation 'raw'
card.currency_code.normalized,card,Card attribute 'currency_code' with derivation 'normalized'
card.currency_code.zscore,card,Card attribute 'currency_code' with derivation 'zscore'
card.currency_code.min_last_10,card,Card attribute 'currency_code' with derivation 'min_last_10'
card.currency_code.max_last_10,card,Card attribute 'currency_code' with derivation 'max_last_10'
card.currency_code.avg_last_10,card,Card attribute 'currency_code' with derivation 'avg_last_10'
card.currency_code.sum_last_10,card,Card attribute 'currency_code' with derivation 'sum_last_10'
card.currency_code.stddev_last_10,card,Card attribute 'currency_code' with derivation 'stddev_last_10'
card.currency_code.last_seen,card,Card attribute 'currency_code' with derivation 'last_seen'
card.currency_code.count_last_1h,card,Card attribute 'currency_code' with derivation 'count_last_1h'
card.currency_code.count_last_24h,card,Card attribute 'currency_code' with derivation 'count_last_24h'
card.currency_code.count_last_7d,card,Card attribute 'currency_code' with derivation 'count_last_7d'
card.currency_code.count_last_30d,card,Card attribute 'currency_code' with derivation 'count_last_30d'
card.currency_code.flag_anomaly,card,Card attribute 'currency_code' with derivation 'flag_anomaly'
card.currency_code.rolling_avg_1h,card,Card attribute 'currency_code' with derivation 'rolling_avg_1h'
card.currency_code.rolling_avg_24h,card,Card attribute 'currency_code' with derivation 'rolling_avg_24h'
card.currency_code.velocity_flag,card,Card attribute 'currency_code' with derivation 'velocity_flag'
card.currency_code.trend_up,card,Card attribute 'currency_code' with derivation 'trend_up'
card.currency_code.trend_down,card,Card attribute 'currency_code' with derivation 'trend_down'
card.currency_code.missing_flag,card,Card attribute 'currency_code' with derivation 'missing_flag'
card.network.raw,card,Card attribute 'network' with derivation 'raw'
card.network.normalized,card,Card attribute 'network' with derivation 'normalized'
card.network.zscore,card,Card attribute 'network' with derivation 'zscore'
card.network.min_last_10,card,Card attribute 'network' with derivation 'min_last_10'
card.network.max_last_10,card,Card attribute 'network' with derivation 'max_last_10'
card.network.avg_last_10,card,Card attribute 'network' with derivation 'avg_last_10'
card.network.sum_last_10,card,Card attribute 'network' with derivation 'sum_last_10'
card.network.stddev_last_10,card,Card attribute 'network' with derivation 'stddev_last_10'
card.network.last_seen,card,Card attribute 'network' with derivation 'last_seen'
card.network.count_last_1h,card,Card attribute 'network' with derivation 'count_last_1h'
card.network.count_last_24h,card,Card attribute 'network' with derivation 'count_last_24h'
card.network.count_last_7d,card,Card attribute 'network' with derivation 'count_last_7d'
